ID,What is your gender?,What is your age?,What was the most important consideration for you in choosing this project?,,,,,How interested are you in the following benefits?,,
66,,51,,Price,Yes,Yes,Somewhat Interested,Not Very Interested,Neutral,Not at All Interested
67,,50,,Price,No,No,Neutral,Somewhat Interested,Neutral,Somewhat Interested
68,,58,,Price,Yes,Yes,Not Very Interested,Neutral,Neutral,Neutral
69,,59,,Price,Yes,Yes,Somewhat Interested,Not Very Interested,Neutral,Not Very Interested
70,,51,,Price,No,No,Neutral,Not at All Interested,Neutral,Not at All Interested
71,,50,,,Yes,Yes,Not Very Interested,Very interested,Neutral,Very interested
72,,58,,,Yes,Yes,Not at All Interested,Neutral,Neutral,Somewhat Interested
73,,59,,,No,No,Very interested,Neutral,Neutral,Neutral
74,,53,,,Yes,Yes,Neutral,Not at All Interested,Neutral,Not Very Interested
75,,61,,Price,Yes,Yes,Neutral,Somewhat Interested,Neutral,Somewhat Interested
76,,62,,Price,No,No,Neutral,Neutral,Not at All Interested,Neutral
77,,62,,Price,Yes,Yes,Neutral,Not Very Interested,Very interested,Neutral
78,,68,,Price,Yes,Yes,Neutral,Not at All Interested,Neutral,Neutral
79,,68,,Price,No,No,Neutral,Very interested,Neutral,Neutral
80,,69,,,Yes,No,Neutral,Somewhat Interested,Not at All Interested,Neutral
81,,69,,,Yes,Yes,Neutral,Neutral,Somewhat Interested,Neutral
82,,65,,Price,No,Yes,Neutral,Not Very Interested,Neutral,Neutral
83,,61,,Price,Yes,No,Neutral,Somewhat Interested,Not Very Interested,
84,,66,,Price,Yes,No,Neutral,Neutral,Not at All Interested,Neutral
85,,66,,Price,No,Yes,Neutral,Not Very Interested,Very interested,Very interested
86,,67,,Price,Yes,Yes,Neutral,Not at All Interested,Somewhat Interested,Neutral
87,,62,,,Yes,No,Neutral,Very interested,Neutral,Neutral
88,,63,,,No,Yes,Neutral,Neutral,Not Very Interested,Neutral
89,,68,,Price,No,Yes,Neutral,Neutral,Somewhat Interested,Neutral
90,,64,,Price,Yes,No,Neutral,Not at All Interested,Neutral,Neutral
91,,64,,Price,Yes,Yes,Neutral,Very interested,Not Very Interested,Neutral
92,,64,,Price,No,Yes,Neutral,Somewhat Interested,Not at All Interested,Neutral
93,,61,,Price,Yes,No,Neutral,Neutral,Very interested,Neutral
94,,69,,Price,Yes,Yes,Neutral,Not Very Interested,Neutral,Neutral
95,,68,,Price,No,No,Neutral,Somewhat Interested,Neutral,Neutral
96,,63,,Price,Yes,Yes,Neutral,Neutral,Not at All Interested,Not Very Interested
97,,65,,Price,Yes,Yes,Neutral,Not Very Interested,Not at All Interested,Somewhat Interested
98,,65,,Price,No,No,Neutral,Not at All Interested,Very interested,Neutral
99,,66,,Price,Yes,No,Neutral,Very interested,Neutral,Neutral
100,,66,,Price,Yes,Yes,Neutral,Not Very Interested,Neutral,Neutral
101,,67,,Price,No,Yes,Neutral,Not at All Interested,Not at All Interested,Neutral
102,,62,,Price,Yes,No,Neutral,Very interested,Somewhat Interested,Neutral
103,,63,,Price,Yes,Yes,Neutral,Somewhat Interested,Neutral,Neutral
104,,68,,Price,No,Yes,Neutral,Neutral,Not Very Interested,Neutral
105,,64,,Price,Yes,No,Neutral,Not Very Interested,Not at All Interested,Neutral
106,,64,,Price,Yes,Yes,Neutral,Not at All Interested,Very interested,Neutral
107,,64,,Price,No,Yes,Neutral,Somewhat Interested,Somewhat Interested,Neutral
108,,61,,Price,Yes,No,Neutral,Neutral,Neutral,Neutral
109,,69,,Price,Yes,Yes,Neutral,Not Very Interested,Not Very Interested,Neutral
110,,68,,Price,No,Yes,Neutral,Not at All Interested,Somewhat Interested,Neutral
111,,63,,Price,Yes,No,Neutral,Very interested,Neutral,Neutral
112,,68,,Price,Yes,Yes,Neutral,Somewhat Interested,Not Very Interested,Neutral
113,,63,,Price,No,Yes,Neutral,Neutral,Not at All Interested,Neutral
114,,65,,Price,Yes,No,Neutral,Not Very Interested,Very interested,Neutral
115,,65,,Price,Yes,No,Neutral,Somewhat Interested,Neutral,Neutral
116,,66,,Price,No,Yes,Neutral,Neutral,Neutral,Neutral
117,,66,,Price,Yes,Yes,Neutral,Not Very Interested,Not at All Interested,Neutral
118,,67,,Price,Yes,No,Neutral,Not at All Interested,Neutral,Neutral
119,,62,,Price,No,Yes,Neutral,Very interested,Neutral,Neutral
120,,63,,Price,Yes,Yes,Neutral,Somewhat Interested,Neutral,Neutral
121,,68,,Price,Yes,No,Neutral,Neutral,Neutral,Neutral
122,,64,,Price,No,Yes,Neutral,Not Very Interested,Neutral,Neutral
123,,64,,Price,Yes,Yes,Neutral,Neutral,Neutral,Neutral
124,,64,,Price,Yes,No,Neutral,Somewhat Interested,Neutral,Neutral
125,,61,,Price,No,Yes,Neutral,Neutral,Neutral,Neutral
126,,69,,Price,Yes,Yes,Neutral,Not Very Interested,Neutral,Neutral
127,,64,,Price,Yes,No,Neutral,Not at All Interested,Neutral,Neutral
128,,61,,Price,No,Yes,Neutral,Very interested,Neutral,Neutral
129,,69,,Price,Yes,Yes,Neutral,Somewhat Interested,Neutral,Neutral
130,,68,,Price,Yes,No,Neutral,Neutral,Neutral,Neutral
131,,63,,Price,No,Yes,Neutral,Not Very Interested,Neutral,Neutral
132,,68,,Price,No,Yes,Neutral,Very interested,Neutral,Neutral
