ID,What is your gender?,What is your age?,What was the most important consideration for you in choosing this project?,,,,,How interested are you in the following benefits?,,
83,,61,,Price,Yes,No,,,,
84,,66,,Price,Yes,No,,,,
85,,66,,Price,No,Yes,,,,
86,,67,,Price,Yes,Yes,,,,
87,,62,,,Yes,No,,,,
88,,63,,,No,Yes,,,,
89,,68,,Price,No,Yes,,,,
90,,64,,Price,Yes,No,,,,
91,,64,,Price,Yes,Yes,,,,
92,,64,,Price,No,Yes,,,,
93,,61,,Price,Yes,No,,,,
94,,69,,Price,Yes,Yes,,,,
95,,68,,Price,No,No,,,,
96,,63,,Price,Yes,Yes,,,,
97,,65,,Price,Yes,Yes,,,,
98,,65,,Price,No,No,,,,
99,,66,,Price,Yes,No,,,,
100,,66,,Price,Yes,Yes,,,,
101,,67,,Price,No,Yes,,,,
102,,62,,Price,Yes,No,,,,
103,,63,,Price,Yes,Yes,,,,
104,,68,,Price,No,Yes,,,,
105,,64,,Price,Yes,No,,,,
106,,64,,Price,Yes,Yes,,,,
107,,64,,Price,No,Yes,,,,
108,,61,,Price,Yes,No,,,,
109,,69,,Price,Yes,Yes,,,,
110,,68,,Price,No,Yes,,,,
111,,63,,Price,Yes,No,,,,
112,,68,,Price,Yes,Yes,,,,
113,,63,,Price,No,Yes,,,,
114,,65,,Price,Yes,No,,,,
115,,65,,Price,Yes,No,,,,
116,,66,,Price,No,Yes,,,,
117,,66,,Price,Yes,Yes,,,,
118,,67,,Price,Yes,No,,,,
119,,62,,Price,No,Yes,,,,
120,,63,,Price,Yes,Yes,,,,
121,,68,,Price,Yes,No,,,,
122,,64,,Price,No,Yes,,,,
123,,64,,Price,Yes,Yes,,,,
124,,64,,Price,Yes,No,,,,
125,,61,,Price,No,Yes,,,,
126,,69,,Price,Yes,Yes,,,,
127,,64,,Price,Yes,No,,,,
128,,61,,Price,No,Yes,,,,
129,,69,,Price,Yes,Yes,,,,
130,,68,,Price,Yes,No,,,,
131,,63,,Price,No,Yes,,,,
132,,68,,Price,No,Yes,,,,
